question,optimal_lambda(s),max_rouge_score
Who is Sobe (Sister Of Saint Anne)'s grandchild?,"[0.7, 0.8]",1.0
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,"[0, 0.1, 0.2, 0.3, 0.4, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Who is Helmichis's father-in-law?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Where did Helena Carroll's father study?,[0.7],0.888888888888889
Where does the director of film Wine Of Morning work at?,"[0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",[0.8],1.0
Who is the spouse of the director of film Emergency Wedding?,"[0, 0.1, 0.2, 0.3, 0.5, 1.0]",1.0
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?","[0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,"[0, 0.1, 0.2, 0.3, 0.4, 0.7, 0.8, 0.9, 1.0]",1.0
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Where was the director of film Kanneshwara Rama born?,"[0, 0.1, 0.2, 0.3, 0.4]",1.0
Where did the performer of song I'Ll Say It graduate from?,[0.4],1.0
"Which film has the director who was born first, Hell Up In Harlem or The Soviet Story?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who was born first, Cipriano Castro or Damir Nikšić?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?","[0.2, 0.3, 0.5, 0.7, 0.9, 1.0]",1.0
"Who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which song came out first, Joel The Lump Of Coal or Jugband Blues?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","[0, 0.1, 0.2, 0.3, 0.4]",0.8333333333333334
Where did the performer of song Fantasy (George Michael Song) die?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,"[0.1, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film whose director was born first, The Abduction Club or Wooden Crosses?","[0, 0.2]",1.0
"Which film came out earlier, Above Rubies or The Magic Aster?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director who is older than the other, Blue Blood And Red or The Longshot? ","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?","[0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,"[0.2, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film was released more recently, Bajo Otro Sol or Riding The California Trail?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Who is the spouse of the director of film Streets Of Blood?,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",[0.5],1.0
"Which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director died later, Seven In The Sun or Daughter Of The Jungle?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film was released first, Vacations In Majorca or Dr. Socrates?","[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director born later, Woman In The Moon or Changeland?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who is younger, Peter Rosegger or Ruel Redinger?","[0.5, 0.7, 0.8, 0.9, 1.0]",1.0
Who is the spouse of the performer of song This Time (Waylon Jennings Song)?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Are Twin Cairns Island and Nova Zembla Island located in the same country?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who died first, Erich Haenisch or William Pooley?",[0.2],1.0
Do Nick Varner and Carl Duser share the same nationality?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 1.0]",1.0
"Which film has the director who died earlier, Melody Of The World or Ladies Love Danger?","[0, 0.1, 0.2, 0.3, 0.4, 0.5]",1.0
Who is the mother of the director of film Atomised (Film)?,"[0.6, 0.8, 0.9, 1.0]",1.0
What is the place of birth of the director of film Sweepstakes (Film)?,[0.5],1.0
Where was the place of death of Shahnawaz Bhutto's mother?,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Are Gut (Crișul Alb) and Gepiș both located in the same country?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?",[0.6],1.0
Where was the wife of Lou Breslow born?,"[0.9, 1.0]",1.0
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film has the director who died earlier, Il Gaucho or Bomgay?","[0.4, 0.5]",1.0
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,[1.0],1.0
What is the cause of death of Constantia Eriksdotter's father?,[0.5],1.0
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?","[0, 0.1, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?","[0, 0.1, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Who is the father-in-law of Hong Ra-Hee?,[0.3],1.0
Who is Isabella Of Bourbon's paternal grandfather?,"[0.6, 0.7, 0.8, 0.9]",1.0
What is the place of birth of the director of film Gunsmoke (Film)?,"[0.2, 0.3]",1.0
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Which case was brought to court first Miller v. California or Gates v. Collier ?,"[0, 0.1, 0.2, 0.3, 0.4, 1.0]",1.0
"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?","[0.6, 0.7]",1.0
Celebrity Fifteen to One has had more than one appearance by an English writer and former Conservative Member of what?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Which is a flowering plant, Pueraria or Pleiospilos?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
After Russell D. Moore served at the Southern Baptist Theological Seminary he became the President of The Ethics & Religious Liberty Commission (ERLC) in what year?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"For which band, was the female member of Fitz and The Tantrums, the front woman for ten years ?",[0.7],1.0
"When was the American singer, songwriter, record producer, dancer and actress born who's second studio album is Chapter II?","[0.6, 0.7, 0.8, 0.9]",1.0
Finally includes the song that peaked at what on the US Hot 100,"[0.3, 0.9, 1.0]",1.0
Which retired Argentine footballer who played as a forward was a main player for Valencia CF?,"[0.5, 0.7]",0.8571428571428571
"The song that came out ahead of The Wanted's ""Lightning"" on the UK Singles Chart was featured on which album?","[0.1, 0.2]",1.0
"What Friday night programming block included what collective series that includes ""Whatever Happened to... Robot Jones?""?",[0],1.0
"Oak Beach, New York and Great South Bay are both situated between what same island?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Who is a guest in the final two episodes of season eighteen of South Park?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Robbie Tucker plays in what series that follows a group of friends who run an Irish bar?,"[0, 0.1, 0.2, 0.3, 0.4, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
The large subunit and small subunit that use two types of RNA are major components that make up what?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"Whiich genus has more species, Dracula or Pistacia?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Band-e-Amir Dragons is named after the lakes in which Afghan national park?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
The 1958 Pro Bowl was played at the California stadium that is the home for which college?,[0.5],1.0
Spider9 was founded in 2011 by the head of which subsidiary of Wanxiang Group?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",0.8
McLaren MP4/11 was driven by what Finnish former professional racing driver,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Which of the movie which has Rich Lee 3-D previsualizations was directed by Francis Lawrence?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Who choreographed one who is said to be the last muse for the choreographer and starred in the Nutcracker?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Which utility holding company did Alfred A. Marcus work as a consultant?,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",0.8
"Which film was released first, Summer Magic or Around the World in 80 Days?","[0, 0.1, 0.2, 0.3, 0.4, 0.5]",1.0
The physicist who is responsible for identifying the Rabi cycle won what award?,"[0, 0.1, 0.2, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
"The historical Nimavar school in the Nimavar Bazaar, or bazar, is located in which country?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Which name adopted by African-American activist Allen Donaldson co-found Black Power movement of the 1960s and 1970s,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",0.8
"Which person is known for playing in punk bands, Keith Morris or Rome Ramirez?","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
Arnold Richards was the former chair of what organization that is a member of the Center for Jewish History?,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
When was the plaintiff in the 1892 Barbed Wire Patent Case born?,[0.8],1.0
When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,[0.6],1.0
"Who gave the mother of Alberic II of Spoleto the title ""patricia"" of Rome?","[0.5, 0.6, 0.7, 0.8, 0.9, 1.0]",1.0
