id,question,context,ground_truth,aem_answer,topk_answer (k=5),AEM Counts,TopK Counts
tc_282,Dave Gilmore and Roger Waters were in which rock group?,"David Gilmour —      Free listening, videos, concerts, stats and photos at Last.fm
singer-songwriter
David Jon Gilmour, known as David Gilmour (born 6 March 1946 in Cambridge, England, United Kingdom) is an English musician and multi-instrumentalist, who was the guitarist, lead vocalist and one of the songwriters of the progressive rock band Pink Floyd.
Gilmour was born in Cambridge, England. His father, Douglas Gilmour, was a senior lecturer in zoology at the University of Cambridge and his mother, Sylvia (née Wilson), was a teacher and film editor who raised her family at Grantchester Meadows… read more",Pink Floyd; Grey Floyd; Pink Floyd trivia; The Screaming Ab Dabs; Pink flowd; The Meggadeaths; The Architectural Abdabs; PINK FLOYD; Pink Flod; Pink Floyd; Pink Floyd Trivia; The Pink Floyd; Notable or frequent contributors to pink floyd; The Tea Set; Pinkfloyd; Pi5; Pink floid; Pink Floyd (band); The T Set; Screaming abdabs; Notable or frequent contributors to Pink Floyd; The Megadeaths; Pik floyd; The Pink Floyd Sound; Pink floyd; The T-Set; The Screaming Abdabs; Clive Metcalfe; Meggadeaths,Pink Floyd,Pink Floyd.,1,1
tc_298,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"Los Angeles Memorial Coliseum
The 1984 Summer Olympics, officially known as the Games of the XXIII Olympiad, was an international multi-sport event held in Los Angeles , California , United States in 1984. When Tehran , the only other interested city on the international level, declined to bid due to the concurrent Iranian political and social changes, the IOC awarded Los Angeles the Games by default. This was the second occasion Los Angeles hosted the games; it previously hosted in 1932 .
In response to the American-led boycott of the 1980 Summer Olympics in Moscow, 14 Eastern Bloc countries, including the Soviet Union , Cuba and East Germany , boycotted the Games ; only Romania elected to attend. For differing reasons, Iran and Libya also boycotted. The USSR announced its intention not to participate on May 8, 1984, citing security concerns and ""chauvinistic sentiments and an anti-Soviet hysteria being whipped up in the United States."" Boycotting countries organized another large event in June–September 1984, called the Friendship Games ; however, not even a single competition was held between July 28 and August 12. Representatives of the organizing countries, the Soviets in particular, underlined it was ""not held to replace the Olympics"". Elite athletes from the U.S. and USSR would only compete against each other at the 1986 Goodwill Games in Moscow, organized in response to the boycotts.
Where ambitious construction for the 1976 games in Montreal and 1980 games in Moscow had saddled organizers with expenses greatly in excess of revenues, Los Angeles strictly controlled expenses by using existing facilities except a swim stadium and a velodrome that were paid for by corporate sponsors. The Olympic Committee led by Peter Ueberroth used some of the profits to endow the LA84 Foundation to promote youth sports in Southern California, educate coaches and maintain a sports library. The 1984 Summer Olympics are often considered the most financially successful modern Olympics. [4]
The host state of California was the home state of U.S. President Ronald Reagan , who officially opened the Games. He had served as Governor of California from 1967 to 1975. The official mascot of the Los Angeles Games was Sam the Olympic Eagle . The logo of the games featured five blue, white and red stars arranged horizontally and struck through with alternating streaks; it was named ""Stars in Motion."" These were the first Summer Olympic Games under the IOC Presidency of Juan Antonio Samaranch .
On July 18, 2009, a 25th anniversary celebration was held in the main stadium. This celebration included a speech by the former president of the Los Angeles Olympic Organizing Committee, Peter Ueberroth, and a re-creation of the lighting of the cauldron.
Host selection
The selection process for the 1984 Summer Olympics consisted of a single finalized bid, with the International Olympic Committee accepting the bid of Los Angeles. A bid from Tehran was withdrawn before the selection. Los Angeles had unsuccessfully bid for the two previous Summer Olympics, for 1976 and 1980. The United States Olympic Committee had at least one bid for every Olympics since 1944 , but had not succeeded since the Los Angeles Olympics in 1932 , the previous time a single bid had been issued for the Summer Olympics. [5]
Torch relay
The 1984 Olympic Torch Relay began in New York City and ended in Los Angeles, traversing 33 states and the District of Columbia. Unlike later torch relays, the torch was continuously carried by runners on foot. The route covered more than 9,320 mi (15,000 km) and involved 3,636 runners, including 200 from the sponsoring company AT&T . Noted athlete O.J. Simpson was among the runners, carrying the torch up the California Incline in Santa Monica . Gina Hemphill, granddaughter of Jesse Owens, carried the torch into the Coliseum, completed a lap around the track, then handed it off to the final runner, Rafer Johnson , winner of the decathlon at the 1960 Summer Olympics . With the torch, he touched off the flame which passed through a specially designed flammable Olympic logo, igniting all five rings. The flame then passed up to cauldron atop the peristyle and remained aflame for the duration of the Games.
Music
John Williams composed the theme for the Olympiad, "" Olympic Fanfare and Theme "". This piece won a Grammy for Williams and became one of the most well-known musical themes of the Olympic Games, along with Leo Arnaud 's "" Bugler's Dream ""; the latter is sometimes attached to the beginning of Olympic Fanfare and Theme. Composer Bill Conti also wrote a song to inspire the weightlifters called ""Power"". An album, The Official Music of the XXIII Olympiad—Los Angeles 1984, featured three of those tracks along with sports themes written for the occasion by popular musical artists including Foreigner , Toto , Loverboy , Herbie Hancock , Quincy Jones , Christopher Cross , Philip Glass and Giorgio Moroder . [7] The album was released on Columbia R",Rumania; ISO 3166-1:RO; Romanian state; ROMANIA; Roumania; Etymology of Romania; Romainia; Romînia; North Danubian region; Carpathian Danubian space; ROU; România; Romanian State; Roumanie; Country ROM; Rromania; Romania; Republic of Romania; RO (country); Rumänien; Danubian-Carpathian Area; Rumania; Austro-Hungarian Empire (Romania); Rumunia,Romania,Romania.,1,1
tc_518,What was Eddie Murphy's first movie?,"Birthplace:
Brooklyn, New York
The son of a Brooklyn policeman who died when he was eight, African-American comedy superstar Eddie Murphy was raised in the comfortable middle-class community of Hempstead, NY, by his mother and stepfather. A natural-born class clown, he was voted the most popular student at Roosevelt Junior and Senior High. By the age of 15, he was doing standup gigs at 25 to 50 dollars a pop, and within a few years he was headlining on the comedy-club circuit.
Murphy was 19 he was when hired as one of the backup performers on the NBC comedy weekly Saturday Night Live. His unique blend of youthful arrogance, sharkish good cheer, underlying rage, and street-smart versatility transformed the comedian into SNL's prime attraction, and soon the country was reverberating with imitations of such choice Murphy characterizations as sourball celebrity Gumby, inner-city kiddie host Mr. Robinson, prison poet Tyrone Green, and the Little Rascals' Buckwheat. Just when it seemed that he couldn't get any more popular, Murphy was hastily added to the cast of Walter Hill's 1982 comedy/melodrama feature film 48 Hours, and voila, an eight-million-dollars-per-picture movie star was born. The actor followed this cinematic triumph with John Landis' Trading Places, a Prince and the Pauper update released during the summer of 1983, the same year that the standup album Eddie Murphy, Comedian won a Grammy. In 1984, he finally had the chance to carry a picture himself: Beverly Hills Cop, one of the most successful pictures of the decade. Proving that at this juncture Murphy could do no wrong, his next starring vehicle, The Golden Child (1986), made a fortune at the box office, despite the fact that the picture itself was less than perfect. After Beverly Hills Cop 2 and his live standup video Eddie Murphy Raw (both 1987), Murphy's popularity and career seemed to be in decline, though his staunchest fans refused to desert him. His esteem rose in the eyes of many with his next project, Coming to America (1987), a reunion with John Landis that allowed him to play an abundance of characters -- some of which he essayed so well that he was utterly unrecognizable.
Murphy bowed as a director, producer, and screenwriter with Harlem Nights (1989), a farce about 1930s black gangsters which had an incredible cast (including Murphy, Richard Pryor, Della Reese, Redd Foxx, Danny Aiello, Jasmine Guy, and Arsenio Hall), but was somewhat destroyed by Murphy's lazy, expletive-ridden script and clichéd plot that felt recycled from Damon Runyon stories. Churned out for Paramount, the picture did hefty box office (in the 60-million-dollar range) despite devastating reviews and reports of audience walkouts. Murphy's box-office triumphs continued into the '90s with a seemingly endless string of blockbusters, such as the Reginald Hudlin-directed political satire The Distinguished Gentleman (1992), that same year's ""player"" comedy Boomerang, and the Landis-directed Beverly Hills Cop III (1994). After an onscreen absence of two years following Cop, Murphy reemerged with a 1996 remake of Jerry Lewis' The Nutty Professor. As directed by Tom Shadyac and produced by the do-no-wrong Brian Grazer, the picture casts Murphy as Dr. Sherman Klump, an obese, klutzy scientist who transforms himself into Buddy Love, a self-obsessed narcissist and a hit with women. As an added surprise, Murphy doubles up his roles as Sherman and Buddy by playing each member of the Klump family (beneath piles and piles of latex). The Nutty Professor grossed dollar one and topped all of Murphy's prior efforts, earning well up into the hundreds of millions and pointing the actor in a more family-friendly direction. His next couple of features, Dr. Dolittle and the animated Mulan (both 1998), were children-oriented affairs, although in 1999 he returned to more mature material with the comedies Life (which he also produced) and Bowfinger; and The PJs, a fairly bawdy claymation sitcom about life in Sout
Photos
Prince Akeem, Clarence, Saul, Randy Watson
1988",48 Hours; 48 time; 48 Hours; forty-eight  time,48 Hours,48 Hours.,1,1
tc_783,What is Osbert Lancaster best known for producing?,"Osbert Lancaster
Osbert Lancaster
Osbert Lancaster
Sir Osbert Lancaster, CBE (4 August 1908 – 27 July 1986) was an English cartoonist, author, art critic and stage designer, best known to the public at large for his cartoons published in the Daily Express.",Cartoons; Cartoonish; Cartoons; American cartoon; Cartoon; Cartoonistic; Cartoonism,Cartoons,Cartoons published in the Daily Express.,1,1
tc_866,Who was the first person after Scott to reach the South Pole overland?,"How The Race To The South Pole Went Down - National Geographic
How The Race To The South Pole Went Down
By Cassie Crofts 14 December 2016
How The Race To The South Pole Went Down
The competition in the early 20th century still stands as a symbol of the harrowing nature of polar exploration.
Comment
European and American explorers had attempted to reach the South Pole since British Capt. Robert Falcon Scott's expedition of 1904. Scott, along with fellow Antarctic explorers Ernest Shackleton and Edward Wilson, came within 660 kilometres of the pole, but turned back due to weather and inadequate supplies.
Shackleton and Scott were determined to reach the pole. Scott worked with scientists, intent on using the best techniques to gather data and collect samples.
Shackleton also conducted scientific surveys, although his expeditions were more narrowly focused on reaching the South Pole. He came within 160 kilometres of the pole in 1907, but again had to turn back due to weather.
Scott gathered public support and public funding for his 1910 Terra Nova expedition. He secured provisions and scientific equipment. In addition to the sailors and scientists on his team, the Terra Nova expedition also included tourists – guests who helped finance the voyage in exchange for taking part in it.
On the way to Antarctica, the Terra Nova expedition stopped in Australia to take on final supplies. Here, Scott received a surprising telegram from Norwegian explorer Roald Amundsen: ""Beg leave to inform you Fram [Amundsen's ship] proceeding Antarctic.""
[Antarctic explorer Robert Falcon Scott and his group – Creative Commons]
Amundsen was apparently racing for the pole, ahead of Scott, but had kept all preparation secret. His initial ambition, to be the first to reach the North Pole, had been thwarted by American explorers Frederick Cook and Robert Peary, both of whom claimed to reach the North Pole first. (Both claims are now disputed, and Amundsen's flight over the North Pole is generally recognised as the first verified journey there.)
The Terra Nova and Fram expeditions arrived in Antarctica about the same time, in the middle of the Antarctic summer (January). They set up base camps about 640 kilometres apart. As they proceeded south, both expeditions established resupply depots with supplies for their return journey. While Scott's team stuck to a route forged by Shackleton years earlier, Amundsen took a new route.
Scott proceeded with scientific and expeditionary equipment hauled by dogs, ponies, and motor sledges. The motorized equipment soon broke down, and the ponies could not adapt to the harsh Antarctic climate. Even the sled dogs became weary. All the ponies died, and most members of the expedition turned back. Only four men from the Terra Nova expedition (including Scott's friend Wilson) proceeded with Scott to the pole.
Amundsen travelled by dog sled, with a team of explorers, skiers, and mushers. The foresight and navigation paid off: Amundsen reached the pole in December 1911. He called the camp Polheim, and the entire Fram expedition successfully returned to their resupply depots, ship, and Norway.
[The routes to the South Pole taken by Scott (green) and Amundsen (red) – Creative Commons]
More than a month later, Scott reached the South Pole, only to be met by Amundsen's camp – he had left a tent, equipment, and supplies for Scott, as well as a note for the King of Norway to be delivered if the Fram expedition failed to make it back.
Disheartened, Scott's team slowly headed back north. They faced colder temperatures and harsher weather than Amundsen's team. They had fewer supplies. Suffering from hunger, hypothermia, and frostbite, all members of Scott's South Pole expedition died fewer than 18 kilometres from a resupply depot.
American explorer Richard E. Byrd became the first person to fly over the South Pole, in 1926, and the Amundsen–Scott South Pole Station was established thirty years later.
However, the next overland expedition to the South Pole was not made until 1958, more than 40 years after Amundsen and Scott's deadly race.
The 1958 expedition was led by legendary New Zealand mountaineer Sir Edmund Hillary, who had become the first person to scale Mount Everest in 1953.",Edmond Hillary; Sir Edmund Hillary; Edmund Hilary; Sir Ed; Sir Edmund Hilary; Sir Edmund Percival Hillary; Edmond Hillary; Ed Hillary; Edmond hillary; Sir Edmund; Edmund Percival Hillary; Edmund Hillary,"There is no mention of a specific person reaching the South Pole overland after Scott in the context. However, it is mentioned that the Amundsen–Scott South Pole Station was established thirty years after Amundsen's expedition, but this does not imply that someone reached the South Pole overland after Scott.",Wilson,0,0
tc_954,On what date in 1969 did Neil Armstrong first set foot on the Moon?,"BBC ON THIS DAY | 21 | 1969: 'One small step for man'
About This Site | Text Only
1969: 'One small step for man'
Neil Armstrong and Edwin ""Buzz"" Aldrin are the founding members of one of the world's most exclusive clubs.
They were the first men ever to set foot on the Moon on 21 July 1969, and only another 10 followed them over the course of the next three-and-a-half years.
A lunar landing had been the stuff of science-fiction just a few years previously, and around the world millions of people watched the mission with mixed emotions of awe, fascination, pride and fear.
Some of you sent your memories:
Although I had only recently celebrated my fifth birthday, I have a very vivid memory of that day.
We were all glued to the television at our kitchen table.
My brothers and sister and I were gathered around our parents.  I was the smallest boy, so I got the privilege of sitting on Dad's lap.
I remember, my father being very quiet and mindful of what was being described on TV.
Then when Neil Armstrong started down the ladder, I felt a tremor run through my Dad.  When he made his famous speech, I felt something wet drop onto the top of my head - I turned to see profuse tears streaming from my father's eyes and rolling over his cheeks.
My father would later say, ""Even serving in the war (WWII) paled in comparison."" He was never more proud of being an American than on the day our flag flew on the moon.
Christopher Flournoy, USA
I was 12 years old in 1969.
Here in Australia, the Moonwalk happened at lunchtime - and we were privileged to see better pictures than the rest of the world.
That's because the TV of Neil Armstrong's first step came through the Honeysuckle Creek tracking station near Canberra. Several minutes into the Moonwalk, even better TV was also available from the larger Parkes Radio Telescope.
Australian TV audiences saw these pictures instead of those relayed via Houston (the first of which of which came from the Goldstone station, which had the very dark picture).
The Dish is a lovely light-hearted movie about the role of the Parkes Radio Telescope in western NSW - set during Apollo 11.
I loved the movie - but the story it tells is that Parkes saved the day because no other tracking station could receive the TV.
I was a little annoyed, because the movie retold history - and effectively took away Honeysuckle's big moment of glory. So I was able to find Honeysuckle's Deputy Director during Apollo 11, Mike Dinn (originally from Leeds I think), and wrote to thank him for the role his team played - even if no-one else remembered it.
Colin Mackellar, Sydney, Australia
I was lucky enough to be sitting on the control console at the Honeysuckle  Creek tracking station near Canberra in Australia on the 21st July 1969 (yes  it was the 21st here).
Born in NW London I emigrated to Australia in 1966 specially to take part in  Apollo and manned and un-manned missions.
I worked the Console as Operations Supervisor for all the Apollo missions, then Skylab and many other  manned missions - the golden years of spaceflight, in my opinion.
We had a visit from the Australian prime minister on the day - otherwise the  mission was similar to many of the simulations (without all the problems  :-).
No time to worry that it was a bit of 20th century history - just that  we didn't make too many mistakes.
It only occurred to me later that we had supplied those first pictures to  the world and that they would eventually become the most requested news clip  of all time.
John Saxon, Australia
I was in Karlsruhe,Germany on a school exchange trip.
There was much excitement about the landing and I was invited to sit with the family and all of their neighbours and friends who had come round to watch the event on their television.
They kept asking me to interpret what had been said and one gentleman repeatedly asked 'Was ist LEM?'
Unfortunately, I had no idea and my German was not up to the task of answering or explaining many of their questions.
I think the overriding emotions were of awe and trepidation.
There had been speculation in the press about what the surface of the moon was like; would it be an immense, deep sea of powder,into which the astronauts would instantly vanish or so hot that it burned the astronauts? Would they ever get home again?
All of these worries tempered the excitement of seeing the event, live, on the flickering television screen. An awesome event that I will never forget.
Peter Webb, UK
I wasn't born in 1969. However, I watched a one-night recap that German TV broadcast, I think it was for the 25th anniversary.
The moon landing has not lost its fascination!
The only thing that made watching the landing a sad thing was the knowledge that the enthusiasm for space exploration seems to have mostly died.
We left Earth, our cradle, took a ""small step"" out onto our front porch, and then crawled back.
There's a whole universe out there to explore. It's time we add more steps and go for an interplanetary walk.
Nils",July 20th; July 20; 20 July; July 20th; Jul 20; 20th July; Historical anniversaries/July 20,21-Jul-69,21 July 1969.,0,0
tc_962,What was the profession of Paul Strand (1890 - 1976)?,"Paul Strand (1890-1976) , Tailor's Apprentice, Luzzara, Italy, 1953  | Christie's
Life is not what is invented in ‘stories’; life is another matter.
—Cesare Zavattini
Guided by filmmaker and influential critic Cesare Zavattini, Paul Strand wandered and photographed in Luzzara, Italy as an engaged outsider in search of a subject. Privy to its stories and the lives of its people through the native Zavattini, but unable to speak Italian, Strand beautifully conveys an intimate distance throughout his 1955 photobook Un Paese. The title of the project, ‘Un Paese,’ dually translates to ‘village’ and ‘country,’ as Luzzara along with the young Tailor’s Apprentice featured here, function as both unique individuals and signifiers for the nation and its population experiencing an extraordinary transition following the Second World War.
Like most of his Luzzara subjects, Strand identifies the young woman by her profession rather than by name. Separated from her work environment, clean, well dressed and seemingly content, she is not portrayed as a victim of exploitative mechanized labor so famously documented by Strand’s first photography teacher, Lewis Hine. Hine’s humanitarian documentary projects, particularly his work for the National Child Labor Committee, exude urgency and explicitly encourage social change. Cotton-Mill Worker, North Carolina (1908) confronts the viewer with the stark realities of child labor and poverty, as its young subject meets the gaze of the camera, not unlike the subject of Tailor’s Apprentice, but with a wholly different plea. Hine’s documents advocate, whereas Strand’s portraits illuminate; bringing us closer to the subject without making claim to their personhood. And while Strand’s pristine, precious prints could never be mistaken for one by Hine, Alfred Stieglitz all too often overshadows Hine’s aesthetic influence, even when regarding Strand’s labor oriented images.
Identified as an apprentice, Strand aligns the young girl with an older, more humane system of labor. The text accompanying the photograph and attributed to her reads; ‘I went to Piemonte this year with my mama, who goes there to work as a rice-weeder, because my papa couldn’t stay behind with me since he was alone. There in Piemonte I looked after the landlord’s geese in the pasture.’ In this short note and throughout Un Paese the textural information selected by Strand conveys the facts of life, rather than its stories. The reader learns about the cost of sharpening tools, the loss of life during the war, the expense of marriage, and summers spent with geese while mothers work in fields.
By the late 1940s, the status of the photograph as objective document had been so thoroughly corrupted by its manipulation during the Second World War that artists, photographers, and filmmakers—particularly those in Italy, like Zavattini—embraced and laid claim to the objective subject. In a letter to Beaumont Newhall, dated April 28, 1953, Strand writes about portraiture of subjects ‘completely unknown to the world at large,’ a kind of neo-realist inspired stance that steps away from the candid, documentary impulse to something more intimate and humane. ‘In short there is no necessity to be acquainted with the subject in order to have from the portrait complete esthetic and human satisfaction...I do not say this kind of portraiture invalidates the candid point of view...It is just different, very different and very challenging. It is one thing to photograph people; it is another to make others care about them by revealing the core of their humanness. The old masters did this as though it was the most natural thing to do, and with the greatest simplicity of means.’
Cataloguing & details",Photographer; Photographist; Photographer; Freelance photographer; Freelance Photography; Photographr,Photographer,Tailor's Apprentice.,1,0
tc_1020,Who set fire to his guitar at the Monterey Pop festival in 19676?,"Jimi Sounds Like A Rainbow: Hendrix For Kids : NPR
Javaka Steptoe
Javaka Steptoe
In 1956, 14 year old James Marshall Hendrix was in his Seattle home, listening to a thunderstorm raging outside. For a moment, he thought he heard a woman's name being blown in the wind— Ten years later, James changed his name to Jimi Hendrix and formed the band, The Experience. When they debuted at the Monterey Pop Festival in 1967, Hendrix set his guitar on fire and began a new chapter in the history of rock. He died three years later of an accidental drug overdose.
 
Excerpt: 'Jimi: Sounds Like A Rainbow'
The guitarist's story is know to many adult fans. But now, the story of young Jimi Hendrix's is now told in a new children's book by author Gary Golio and illustrator Javaka Steptoe, called ""Jimi Sounds Like a Rainbow: A Story of the Young Jimi Hendrix.""
In addition to writing children's books Gary Golio is a children's therapist. As he tells Weekend Edition Saturday Host Liane Hansen, he feels that telling Hendrix's story to children helps them find their own path.
""Many of the kids I see if I say to them, what do you want to be when you grow up? Alot of them say 'I don't know',"" he says. ""If you don't have a goal as a young person, you're really adrift. Jimi had nothing materially, he was quite poor, but in his imagination, inside of himself, he lived a very rich inner life.
Golio says that there are many important lessons to be learned from the young Jimi Hendrix.
""If you pass through the mythology about him, his childhood reflects all the values that we want to teach our children about. Persistence, and loving what you do, and having goals, positive goals, and investing yourself. That's the way I approached it.""
NPR thanks our sponsors",Jimi Hendrix; Hendrix; Lithofayne Pridgeon; Jimi hendrix; Early life of jimi hendrix; Villanova Junction; James Marshall Hendrix; Jimmi Hendrix; Jimy Hendrix; Johnny Allen Hendrix; Jimmy hendrix; Jimmy Hendricks; Gypsy Sun and Rainbows; Jimmy Hendrix; Electric Church; Janie Hendrix; Early life of Jimi Hendrix; Heaven Research; Jim Hendrix; Al Hendrix; Gypsy Suns and Rainbows; James Hendrix; Jimi Hendrix,Jimi Hendrix,Jimi Hendrix.,1,1
tc_1023,Della Street was whose secretary?,"Barbara Hale: Biography
""It happened when we were both working for RKO in 1943.
I was there briefly before she came out from Illinois. She
certainly made a lasting impression on me. When I left for
service again, I took with me the image of a bright, lovely
and wholesome personality whose charm kept lingering
in my mind. ""
(Raymond Burr, TV Radio Mirror, 1962)
 
Barbara Hale started her career in Hollywood in 1942. Actually, it wasn't her aim to be an actress. She had planned a profession in art.
On April 18, 1922,* Barbara was born in DeKalb, Illinois to parents of Scotch-Irish descent. She was the second child of Willa (born Calvin) and Luther ""Ezra"" Hale, a landscape gardener. Shortly after Barbara's birth, her parents moved to Rockford with her and her elder sister Juanita, who was born in 1913. Here, the actress grew up in a provincial idyll and started to take lessons in ballet and tap dancing at the age of twelve. Barbara also started to participate in local theater plays. Already, during her time in school, she discovered her talent and interest in painting. That's why Barbara decided to enroll in the Chicago Academy of Fine Arts after her graduation from high school in     Rockford. 
Her life in Chicago was more difficult than expected and the competition at the Academy of Fine Arts was huge. Barbara's aim was to work for the advertising industry, but she realized fast that it was a tough business. Thereupon, she started to concentrate on working as a model. She collected first experiences while posing for a comic strip named "" Ramblin'     Bill .""
Shortly after that, Barbara coincidentally met Al Seaman, the head of the Chicago Model Bureau, who was so enthusiastic about his new discovery that he sent photos to RKO Studios. An audition was arranged. Shortly after that, Barbara signed a stock contract and went on to California.
 
Movies
Barely arrived in Hollywood, Barbara first made small appearances in movies. She can be seen as a girl in a bar, a stocking salesgirl, a girl dancing at a party or, as in ""The 7th Victim"" (1943), a witness in the subway.     ( Silent     appearance in ""The 7th Victim"" )
Barbara Hale's first big performance was in ""Higher and Higher"" (1944) at the side of Frank Sinatra. After that, supporting roles followed, for example, in ""The Falcon out West"" (1944) and ""First Yank Into Tokyo"" (1945). Starting from these first successes in B-Movies, she began to steadily establish her reputation. New opportunities for Barbara showed up so that she could prove her talent as an actress. Besides appearing in Westerns like ""West of the Pecos"" (1945), ""Lone Hand"" (1951) and ""Last of the Commanches"" (1952), she also took miscellaneous roles in Dramas and Comedies. For example, one can see her beside James Stewart in ""The Jackpot"" (1950) or with Robert Young in ""Lady Luck"" (1946), where she keeps him busy as his young wife who is skeptical about gambling.
Barbara Hale established her role profile as a warm-hearted, lovable but very strong-minded, vivid and resolute woman who will reach her aim. Mostly, she played women who know what they want and who also show this clearly to the man of their heart. Barbara gave her characters an expressive personality what makes them lovable for viewers. Contributing to that are Barbara's strong charisma on-screen and her warm voice.
Unusual for Barbara Hale was certainly her role as Zoe Crane in ""The Houston Story"" (1956). Not only the appearance of the actress but also Zoe's situation in the plot shows this perfectly. The development of the character seems to follow the classic female part in Film Noir. However, Barbara's role isn't the one of the ""bad girl."" The question if Zoe is possibly a victim in the story stays unanswered.  ( Barbara  in  ""The Houston Story"" .)
Barbara Hale's stock contract with RKO lasted over six years. After that, arrangements with Columbia Studios and other production companies followed.
 
Family
Barbara met her future husband Bill Williams in 1944 during the shooting of ""West of the Pecos."" Later she said that it was love at first sight. Bill Williams was born in Brooklyn on May     21, 1915, and was a dedicated athlete before he moved into Show Business. He began as a dancer in Vaudeville and, in 1944, signed a stock contract at     RKO. Barbara and Bill married in 1946. One year later, on July 24, 1947, her first daughter Barbara Willa Johanna     ('Jody') was born. The small family lived in Los Angeles and Barbara kept on working. The balancing act between job and family was described by her at this time:
 
""It's like walking a tightrope, this business of  career and marriage. I've never walked a tightrope before but I guess I'll have to  learn how."" (RKO Gals,         p773.)
 
On February 16, 1951 Barbara gave birth to son William Theodore.     ( The family in the early 50s. ) Their third child, Juanita Lauralee     ('Nita') was born in Los Angeles on December 22, 1953 and made the family complete. After Juanita's birt",Perry Mason; Perry Mason (film); Perry mason; Perry Mason: The Case of the Defiant Daughter; Perry Mason,Della Street,Della Street was Perry Mason's secretary.,0,0
tc_1115,Which sitcom star appeared on the big screening The Object of My Affection?,"Jennifer Aniston Is People's Most Beautiful Woman of 2016
After ""Leprechaun"" (1993), Aniston played Madeline Drego Cooper in the CBS sitcom, ""Muddling Through"" (1994). 
CBS
""Muddling Through"" (1994) may have only lasted one season, but 2 weeks after the show wrapped Aniston caught her big break as Rachel Green on NBC's ""Friends"" (1994-2004). 
NBC
Jennifer effortlessly played advertising exec Kate in ""Picture Perfect"" (1997), pictured here looking perfect with phony fiance Jack (Jay Mohr).   
20th Century Fox
Her next major flick came in 1997 with the rom-com ""The Object of My Affection"" opposite Paul Rudd.  
20th Century Fox
Here's the sassy Jen we know and love telling off her boss in ""Office Space"" (1999).
20th Century Fox
""The Good Girl"" in 2002 had Jennifer starring as Justine Last, a young woman having an affair with a store clerk (Jake Gyllenhaal) who thinks he's Holden Caulfield.
Fox Searchlight
Aniston hit big screen stride with box office ht ""Bruce Almighty"" in 2003. The comedy had the actress play the wife to God (or everyman Bruce, played by Jim Carey). 
Universal Pictures
2004 brought another hit with ""Along Came Polly."" Jennifer starred as spicy food loving, salsa dancing Polly Prince, pictured here with her pet ferret, Rodolfo. 
Universal Pictures
In ""Friends With Money"" (2006), Aniston starred as Olivia, who quits a lucrative job and navigates life surrounded by her wealthy friends. She's pictured here in her first indie flick alongside Frances McDormand.
Sony Pictures Classics
Aniston starred alongside Owen Wilson in the 2008 tear-jerker ""Marley & Me."" 
20th Century Fox
The star had made her name as a great rom-com actress by the release of ""He's Just Not That Into You"" in 2009. Jen shone amidst an all-star cast that included Scarlett Johansson, Drew Barrymore, and Bradley Cooper to name a few. 
New Line Cinema
""The Bounty Hunter"" (2010) gave Jennifer the chance to flaunt her action movie chops as Nicole Hurley, reporter and ex-wife of Milo Boyd (Gerard Butler) the bounty hunter, on the run from the cops. 
Columbia Pictures
Jen's never strayed far from her comedic roots. Her role as the questionable Dr. Julia Harris, D. D. S. in ""Horrible Bosses"" (2011) proved dentistry has never looked better. 
Warner Bros.
Aniston sheds city life for a commune in 2012's ""Wanderlust"" opposite Paul Rudd. Here, she executes perfect yoga poses alongside fellow commune resident Seth (played by real-life boyfriend Justin Theroux). 
Universal Pictures
We all know Jennifer Aniston is gorgeous, but she just wanted to remind us with this strip tease scene from ""We're The Millers"" (2013).
New Line Cinema
The highly anticipated drama, ""Cake"" (2014), puts Aniston in an Oscar-worthy role as Claire Bennett, a woman who strikes up a questionable relationship with a widower. The film has reinforced Aniston's status as a true and talented actress. 
Cinelou Films
Prior to the release of ""Cake"" (2014), Aniston stopped by TheWrap offices to talk Oscar buzz, and even to get quizzed on, well, Jennifer Aniston.
TheWrap","Jennifer Aniston; Jennifer Anniston; Jen Aniston; Jennifer Aniston; Jennifer aniston; Jennifer Pitt; Jennifer anniston; Jenifer Anniston; Jenifer Aniston; Pumas (film); Jennifer Anistion; Jennifer Joanna Aniston; Jennifer Joanna Anastassakis; Aniston, Jennifer; Counter Clockwise (film); Jennifer anastassakis",Paul Rudd,Jennifer Aniston.,0,0
